39_cause_recode,month_of_death,count,total,percentage
07,03,34213,405728,8.432496648000631
07,04,32548,405728,8.022123195835634
07,05,33955,405728,8.368907248205694
07,06,33077,405728,8.152506112469437
07,07,34628,405728,8.534781922864578
07,08,34622,405728,8.533303099613535
07,09,33667,405728,8.297923732155532
07,10,35057,405728,8.640517785314298
07,11,33534,405728,8.2651431500907
07,12,34899,405728,8.601575439703446
08,01,151335,1733447,8.730292878870829
08,02,136908,1733447,7.898020533653466
08,03,149478,1733447,8.62316528858396
08,04,141897,1733447,8.185828583164065
08,05,145702,1733447,8.40533341948153
08,06,139536,1733447,8.04962597645039
08,07,144299,1733447,8.324396419388652
08,08,144993,1733447,8.364432255500168
08,09,141258,1733447,8.148965615908649
08,10,146678,1733447,8.461637419546141
08,11,142564,1733447,8.22430682910986
08,12,148799,1733447,8.58399478034229
09,01,40144,455641,8.810445065303606
09,02,36118,455641,7.926854694814558
09,03,38987,455641,8.55651708252769
09,04,37048,455641,8.130962753571342
09,05,38048,455641,8.350433784492616
09,06,36053,455641,7.912589077804675
09,07,37898,455641,8.317513129854424
09,08,38073,455641,8.355920560265648
09,09,37441,455641,8.217214868723403
09,10,39000,455641,8.55937020592967
09,11,37647,455641,8.262425901093186
09,12,39184,455641,8.599752875619181
10,01,25436,296051,8.59176290571557
10,02,23263,296051,7.857767749475597
10,03,25214,296051,8.516775825786773
10,04,23687,296051,8.000986316546811
10,05,24579,296051,8.30228575481927
10,06,24258,296051,8.193858490597904
10,07,24924,296051,8.41881973038429
10,08,25146,296051,8.493806810313089
10,09,24248,296051,8.190480694204714
10,10,25511,296051,8.617096378664487
10,11,24391,296051,8.238783182627317
10,12,25394,296051,8.577576160864176
11,01,27029,311877,8.666557649329704
11,02,24801,311877,7.952173452995892
11,03,26871,311877,8.615896651564558
11,04,25425,311877,8.152252330245577
11,05,25904,311877,8.30583851967282
11,06,25105,311877,8.049647777809842
11,07,25631,311877,8.218304010876082
11,08,26104,311877,8.369966364945155
11,09,25506,311877,8.178224107580872
11,10,26343,311877,8.446599140045596
11,11,26022,311877,8.343673948383497
11,12,27136,311877,8.700866046550402
12,01,27168,316559,8.582286398428097
12,02,24839,316559,7.846562568115265
12,03,27062,316559,8.548801329294065
12,04,25408,316559,8.026307892051719
12,05,26335,316559,8.319144298535186
12,06,25518,316559,8.061056548700241
12,07,26687,316559,8.430339999810462
12,08,26604,316559,8.404120558884758
12,09,26226,316559,8.284711538765285
12,10,27164,316559,8.581022810913606
12,11,26322,316559,8.315037639113088
12,12,27226,316559,8.600608417388228
13,01,19673,224769,8.752541498160333
13,02,17559,224769,7.812020340883306
13,03,19354,224769,8.610618012270375
13,04,18454,224769,8.210206923552626
13,05,18669,224769,8.3058606836352
13,06,18356,224769,8.16660660500336
13,07,18717,224769,8.327215941700146
13,08,18824,224769,8.37482037113659
13,09,18327,224769,8.153704469922454
13,10,19083,224769,8.490049784445365
13,11,18482,224769,8.222664157423845
13,12,19271,224769,8.573691211866405
14,01,21709,249271,8.70899543067585
14,02,19640,249271,7.878975091366424
14,03,20901,249271,8.384850223251
14,04,20371,249271,8.172230223331233
14,05,20539,249271,8.23962675160769
14,06,20193,249271,8.100821996943086
14,07,20625,249271,8.274127355368254
14,08,21084,249271,8.458264298694996
14,09,20637,249271,8.278941393102286
14,10,21409,249271,8.58864448732504
14,11,20784,249271,8.337913355344185
14,12,21379,249271,8.576609392989958
15,01,140101,1630010,8.595100643554334
15,02,127690,1630010,7.833694271814283
15,03,138909,1630010,8.52197225783891
15,04,132325,1630010,8.118048355531561
15,05,135122,1630010,8.289642394831933
15,06,131656,1630010,8.077005662541946
15,07,136267,1630010,8.359887362654217
15,08,137695,1630010,8.447494187152225
15,09,133544,1630010,8.19283317280262
15,10,140045,1630010,8.591665081809314
15,11,135315,1630010,8.301482812988878
15,12,141341,1630010,8.671173796479776
16,01,76841,807571,9.515076692947122
16,02,69564,807571,8.6139794519615
16,03,72999,807571,9.039329049705847
16,04,66879,807571,8.281500945427709
16,05,66033,807571,8.176742354542203
16,06,62188,807571,7.7006232269360835
16,07,63030,807571,7.804886505335134
16,08,62479,807571,7.73665721032578
16,09,61519,807571,7.617782213576267
16,10,65744,807571,8.140956027395733
16,11,66983,807571,8.294379070075571
16,12,73312,807571,9.078087251771052
17,01,89522,921265,9.717290898927018
17,02,79900,921265,8.672857429729772
17,03,84495,921265,9.171628141739891
17,04,74958,921265,8.136421116616825
17,05,71719,921265,7.784839324190108
17,06,66426,921265,7.210303224370838
17,07,68136,921265,7.395917569863178
17,08,68984,921265,7.487964917803238
17,09,69893,921265,7.586633596196535
17,10,77990,921265,8.465533804062892
17,11,80846,921265,8.77554232495536
17,12,88396,921265,9.595067651544344
20,01,38787,415243,9.340795630510328
20,02,35366,415243,8.51694068292542
20,03,37290,415243,8.98028383380334
20,04,33847,415243,8.151130783661616
20,05,34064,415243,8.203389340699301
20,06,31629,415243,7.616985716797152
20,07,33298,415243,8.018919042584702
20,08,32408,415243,7.804586711877142
20,09,31543,415243,7.596274952256871
20,10,34075,415243,8.206038391977708
20,11,34422,415243,8.28960391866931
20,12,38514,415243,9.275050994237109
21,01,414388,4306494,9.622398173549062
